feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_pmol,CD1b_pmol,CD1c_pmol,CD1d_pmol
PC 18:0;0_20:1;0,PC,GPL,MEM,38,1,0,NA,0.244389996,NA,NA
PC 18:1;0_20:0;0,PC,GPL,MEM,38,1,0,17.1592998504639,NA,7.07215976715088,3.143699884
PC 14:0;0_24:2;0,PC,GPL,MEM,38,2,0,NA,NA,NA,0.832525015
PC 16:0;0_22:2;0,PC,GPL,MEM,38,2,0,2.70988011360168,NA,4.02818012237549,1.920809984
PC 16:1;0_22:1;0,PC,GPL,MEM,38,2,0,26.7318000793457,0.322301,10.8879995346069,18.2682991
PC 18:0;0_20:2;0,PC,GPL,MEM,38,2,0,5.02596998214722,0.213163003,2.20024991035461,0.848257005
PC 18:1;0_20:1;0,PC,GPL,MEM,38,2,0,132.052001953125,3.416419983,65.1948013305664,49.21780014
PC 18:2;0_20:0;0,PC,GPL,MEM,38,2,0,NA,NA,NA,NA
PC 16:0;0_22:3;0,PC,GPL,MEM,38,3,0,0.492909014225006,NA,NA,0.499623001
PC 16:1;0_22:2;0,PC,GPL,MEM,38,3,0,1.20589995384216,NA,NA,1.718619943
PC 16:2;0_22:1;0,PC,GPL,MEM,38,3,0,NA,NA,NA,NA
PC 18:0;0_20:3;0,PC,GPL,MEM,38,3,0,1.92048001289368,0.102002002,NA,0.447192997
PC 18:1;0_20:2;0,PC,GPL,MEM,38,3,0,13.2003002166748,0.440901995,6.63782978057861,4.71036005
PC 18:2;0_20:1;0,PC,GPL,MEM,38,3,0,2.02788996696472,0.0644105,1.44098997116089,0.841534019
PC 18:1;0_20:3;0,PC,GPL,MEM,38,4,0,4.75574016571045,NA,NA,1.47826004
PC 18:2;0_20:2;0,PC,GPL,MEM,38,4,0,NA,NA,NA,NA
PC 15:0;0_24:1;0,PC,GPL,MEM,39,1,0,0.601346015930176,NA,2.41707992553711,4.010009766
PC 17:0;0_22:1;0,PC,GPL,MEM,39,1,0,1.77917003631592,NA,1.83500003814697,1.382169962
PC 17:1;0_22:0;0,PC,GPL,MEM,39,1,0,0.222581997513771,NA,NA,0.352279007
PC 18:0;0_21:1;0,PC,GPL,MEM,39,1,0,0.353334993124008,NA,NA,NA
PC 18:1;0_21:0;0,PC,GPL,MEM,39,1,0,1.81102001667023,NA,NA,NA
PC 19:0;0_20:1;0,PC,GPL,MEM,39,1,0,0.435360014438629,NA,NA,NA
PC 15:0;0_24:2;0,PC,GPL,MEM,39,2,0,NA,NA,NA,0.374913007
PC 16:1;0_23:1;0,PC,GPL,MEM,39,2,0,NA,NA,NA,2.912349939
PC 17:0;0_22:2;0,PC,GPL,MEM,39,2,0,0.381949007511139,NA,NA,0.133038998
PC 17:1;0_22:1;0,PC,GPL,MEM,39,2,0,2.36646008491516,NA,NA,0.740871012
PC 18:1;0_21:1;0,PC,GPL,MEM,39,2,0,5.68873977661133,NA,NA,1.220620036
PC 19:1;0_20:1;0,PC,GPL,MEM,39,2,0,0.840921998023987,NA,NA,0.098822601
PC 16:0;0_24:0;0,PC,GPL,MEM,40,0,0,NA,NA,NA,1.694849968
PC 16:0;0_24:1;0,PC,GPL,MEM,40,1,0,5.80390977859497,0.250182986,4.33714008331299,21.68499947
PC 16:1;0_24:0;0,PC,GPL,MEM,40,1,0,3.13660001754761,0.038420402,2.77864003181458,17.5048008
PC 18:0;0_22:1;0,PC,GPL,MEM,40,1,0,NA,NA,NA,1.132779956
PC 18:1;0_22:0;0,PC,GPL,MEM,40,1,0,5.09315013885498,NA,3.97486996650696,4.072130203
PC 16:0;0_24:2;0,PC,GPL,MEM,40,2,0,4.12405014038086,NA,3.41822004318237,11.61460018
PC 16:1;0_24:1;0,PC,GPL,MEM,40,2,0,11.8978996276855,0.162125006,5.02362012863159,37.15390015
PC 18:0;0_22:2;0,PC,GPL,MEM,40,2,0,1.17263996601105,NA,0.39861398935318,0.333487004
PC 18:1;0_22:1;0,PC,GPL,MEM,40,2,0,50.8204002380371,0.45113799,12.7687997817993,21.90069962
PC 20:1;0_20:1;0,PC,GPL,MEM,40,2,0,2.72655010223389,0.027907399,0.226881995797157,0.134344995
PC 16:1;0_24:2;0,PC,GPL,MEM,40,3,0,1.33511996269226,NA,NA,2.928080082
PC 18:0;0_22:3;0,PC,GPL,MEM,40,3,0,0.289314985275269,NA,NA,NA
PC 18:1;0_22:2;0,PC,GPL,MEM,40,3,0,4.42311000823975,NA,NA,2.509299994
PC 18:2;0_22:1;0,PC,GPL,MEM,40,3,0,0.954827010631561,NA,NA,0.496042997
PC 20:1;0_20:2;0,PC,GPL,MEM,40,3,0,1.23223996162415,NA,NA,0.115333997
PC 18:1;0_22:3;0,PC,GPL,MEM,40,4,0,1.05963003635406,NA,NA,NA
PC 20:1;0_20:3;0,PC,GPL,MEM,40,4,0,0.633643984794617,NA,NA,NA
